time_s,centroid_error_m,pointing_error_deg,axis_error_deg,edge_rms_m,edge_max_m,minimum_separation_m,planarity_m,snr_dB,coherent_loss_dB,fixed_plane_snr_dB
1.5,0.0730106115056619,2.99047788434911,2.99047788434911,0.00129909095314835,0.00192575647219484,1.38593190499698,1.64204199767915e-16,92.011928888402,0.0314208725791694,92.043056565893
1.52,0.0718171517847813,2.92083718383372,2.92083718383372,0.00123744456783279,0.001818324384951,1.38592936764236,2.74298492815269e-16,92.0128649167069,0.0299795926464904,92.0425467356693
1.54,0.0706422925452329,2.85301175654987,2.85301175654987,0.00115004893798393,0.00167915250138173,1.38590792073349,4.04444866382662e-16,92.0137463472447,0.028607726340506,92.0420498950218
1.56,0.0694857293848606,2.78698758971013,2.78698758971013,0.0010396318159007,0.00151225561749202,1.38586907819387,1.40616075760831e-16,92.0145757410897,0.027302525456335,92.0415658722224
1.58,0.0683471826833062,2.72274167894564,2.72274167894564,0.000909567778570293,0.00132211919592207,1.38581481315721,1.39700000369091e-16,92.015355726296,0.0260611700792132,92.0410944998947
1.6,0.0672263945510936,2.66024234845828,2.66024234845828,0.000763871704312197,0.00111358766725811,1.38574748167232,3.91212516305361e-16,92.0160889803313,0.0248807874116904,92.0406356138979
1.62,0.0661231258300783,2.59944978051379,2.59944978051379,0.000607361382760855,0.000891747348909622,1.38566973962182,4.16949968597378e-16,92.0167782102847,0.0237584728696335,92.0401890520825
1.64,0.0650371531924452,2.54031673240043,2.54031673240043,0.000446420377658039,0.000661806884731941,1.38558445526769,2.80317572997126e-16,92.0174261317094,0.0226913125683671,92.0397546529712
1.66,0.0639682663874016,2.48278941575714,2.48278941575714,0.000292516143733636,0.000428978097887223,1.38549461985653,0,92.0180354469059,0.0216764063873252,92.0393322544261
1.68,0.0629162656829354,2.42680851041239,2.42680851041239,0.000181306862934447,0.000237387380123799,1.38540325867498,1.51176614174929e-16,92.0186088233728,0.020710890879753,92.0389216923655
1.7,0.0618809595444101,2.37231028279244,2.37231028279244,0.000201290228174999,0.000327301212883047,1.38531334484222,1.25156822484232e-16,92.019148873068,0.0197919613791479,92.0385227995868
